overview	01-getting-started
quickstart	01-getting-started
setup	01-getting-started
troubleshoot-install	01-getting-started
authentication	01-getting-started
desktop-quickstart	01-getting-started
web-quickstart	01-getting-started
features-overview	01-getting-started
platforms	01-getting-started
how-claude-code-works	01-getting-started
vs-code	02-environments
jetbrains	02-environments
desktop	02-environments
claude-code-on-the-web	02-environments
slack	02-environments
chrome	02-environments
terminal-config	02-environments
interactive-mode	02-environments
fullscreen	02-environments
statusline	02-environments
keybindings	02-environments
voice-dictation	02-environments
computer-use	02-environments
remote-control	02-environments
agent-view	02-environments
deep-links	02-environments
channels	02-environments
channels-reference	02-environments
memory	03-extending
skills	03-extending
sub-agents	03-extending
hooks	03-extending
hooks-guide	03-extending
mcp	03-extending
plugins	03-extending
plugins-reference	03-extending
plugin-marketplaces	03-extending
plugin-dependencies	03-extending
discover-plugins	03-extending
output-styles	03-extending
claude-directory	03-extending
commands	03-extending
mcp-quickstart	03-extending
plugin-hints	03-extending
agent-sdk/overview	04-agent-sdk
agent-sdk/quickstart	04-agent-sdk
agent-sdk/agent-loop	04-agent-sdk
agent-sdk/claude-code-features	04-agent-sdk
agent-sdk/sessions	04-agent-sdk
agent-sdk/streaming-output	04-agent-sdk
agent-sdk/streaming-vs-single-mode	04-agent-sdk
agent-sdk/structured-outputs	04-agent-sdk
agent-sdk/subagents	04-agent-sdk
agent-sdk/skills	04-agent-sdk
agent-sdk/slash-commands	04-agent-sdk
agent-sdk/hooks	04-agent-sdk
agent-sdk/permissions	04-agent-sdk
agent-sdk/mcp	04-agent-sdk
agent-sdk/custom-tools	04-agent-sdk
agent-sdk/tool-search	04-agent-sdk
agent-sdk/plugins	04-agent-sdk
agent-sdk/modifying-system-prompts	04-agent-sdk
agent-sdk/file-checkpointing	04-agent-sdk
agent-sdk/todo-tracking	04-agent-sdk
agent-sdk/user-input	04-agent-sdk
agent-sdk/cost-tracking	04-agent-sdk
agent-sdk/observability	04-agent-sdk
agent-sdk/secure-deployment	04-agent-sdk
agent-sdk/hosting	04-agent-sdk
agent-sdk/migration-guide	04-agent-sdk
agent-sdk/python	04-agent-sdk
agent-sdk/typescript	04-agent-sdk
agent-sdk/typescript-v2-preview	04-agent-sdk
agent-sdk/session-storage	04-agent-sdk
common-workflows	05-workflows
best-practices	05-workflows
code-review	05-workflows
github-actions	05-workflows
gitlab-ci-cd	05-workflows
scheduled-tasks	05-workflows
goal	05-workflows
desktop-scheduled-tasks	05-workflows
routines	05-workflows
ultraplan	05-workflows
ultrareview	05-workflows
headless	05-workflows
agent-teams	05-workflows
agents	05-workflows
worktrees	05-workflows
checkpointing	05-workflows
fast-mode	05-workflows
context-window	05-workflows
debug-your-config	05-workflows
troubleshooting	05-workflows
advisor	05-workflows
large-codebases	05-workflows
prompt-caching	05-workflows
prompt-library	05-workflows
security-guidance	05-workflows
sessions	05-workflows
workflows	05-workflows
cli-reference	06-config-reference
env-vars	06-config-reference
settings	06-config-reference
permissions	06-config-reference
permission-modes	06-config-reference
model-config	06-config-reference
tools-reference	06-config-reference
errors	06-config-reference
auto-mode-config	06-config-reference
sandboxing	06-config-reference
server-managed-settings	06-config-reference
glossary	06-config-reference
sandbox-environments	06-config-reference
admin-setup	07-enterprise
amazon-bedrock	07-enterprise
claude-platform-on-aws	07-enterprise
google-vertex-ai	07-enterprise
microsoft-foundry	07-enterprise
github-enterprise-server	07-enterprise
third-party-integrations	07-enterprise
llm-gateway	07-enterprise
network-config	07-enterprise
devcontainer	07-enterprise
analytics	07-enterprise
monitoring-usage	07-enterprise
costs	07-enterprise
security	07-enterprise
legal-and-compliance	07-enterprise
data-usage	07-enterprise
zero-data-retention	07-enterprise
champion-kit	07-enterprise
communications-kit	07-enterprise
managed-mcp	07-enterprise
changelog	08-whats-new
whats-new/index	08-whats-new
whats-new/2026-w13	08-whats-new
whats-new/2026-w14	08-whats-new
whats-new/2026-w15	08-whats-new
whats-new/2026-w16	08-whats-new
whats-new/2026-w17	08-whats-new
whats-new/2026-w18	08-whats-new
whats-new/2026-w19	08-whats-new
whats-new/2026-w20	08-whats-new
whats-new/2026-w21	08-whats-new
whats-new/2026-w22	08-whats-new
